Date,ABEV3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,BRML3.SA,BRSR6.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,COGN3.SA,CPFE3.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,ENGI11.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HYPE3.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SULA11.SA,SUZB3.SA,TAEE11.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,WEGE3.SA,YDUQ3.SA
2010-01-04 00:00:00,6.113138198852539,,12.949999809265137,29.899999618530273,9.076980590820312,13.379373550415039,,5.722774982452393,,34.70561981201172,22.895000457763672,14.25,7.2240800857543945,14.600000381469727,10.024999618530273,7.937088966369629,9.926400184631348,,17.25242805480957,,5.66572904586792,28.104999542236328,,24.200000762939453,,17.263999938964844,37.76469421386719,24.16930389404297,9.869999885559082,11.089221000671387,9.360198020935059,3.5342369079589844,9.050000190734863,29.600000381469727,35.77000045776367,26.299999237060547,,20.479999542236328,,5.897140026092529,18.268333435058594,9.670000076293945,,6.60026216506958,,19.399999618530273,12.500146865844727,11.23269271850586,,32.481414794921875,41.650001525878906,37.31999969482422,,1.8933329582214355,,5.614943981170654,23.75,11.316665649414062,11.646297454833984,16.007999420166016,12.489999771118164,7.9515581130981445,7.3125,25.5,51.4900016784668,2.711538076400757,8.069999694824219
2010-01-05 00:00:00,6.149097919464111,,13.0,29.600000381469727,8.94814682006836,13.308395385742188,,5.948933124542236,,35.40504455566406,23.135000228881836,14.119999885559082,7.357859134674072,14.300000190734863,10.162500381469727,7.881831169128418,10.078289031982422,,17.04445457458496,,5.6679511070251465,28.364999771118164,,23.969999313354492,,17.399999618530273,37.45490264892578,24.16930389404297,9.640000343322754,11.174674987792969,9.495201110839844,3.5621120929718018,9.0,30.100000381469727,36.20000076293945,26.079999923706055,,20.75,,5.878070831298828,18.386722564697266,9.579999923706055,,6.36248779296875,,20.799999237060547,12.336508750915527,11.182695388793945,,32.481414794921875,41.400001525878906,37.0,,1.8473329544067383,,5.689809799194336,23.979999542236328,11.333333015441895,11.478288650512695,16.007999420166016,12.493332862854004,7.818478107452393,7.3125,25.575000762939453,51.970001220703125,2.7056210041046143,8.166666030883789
2010-01-06 00:00:00,6.211828231811523,,13.489999771118164,29.639999389648438,8.895441055297852,13.20192813873291,,6.243922233581543,,35.900840759277344,23.450000762939453,14.460000038146973,7.692306995391846,14.350000381469727,10.5,7.86173677444458,9.888443946838379,,17.157894134521484,,5.50575590133667,28.399999618530273,,24.0,,17.224000930786133,36.975223541259766,24.16930389404297,9.600000381469727,11.339008331298828,9.40519905090332,3.5242810249328613,9.324999809265137,30.299999237060547,36.560001373291016,26.3799991607666,,21.559999465942383,,5.8065619468688965,18.227352142333984,9.729999542236328,,6.239501953125,,21.350000381469727,12.545601844787598,11.332687377929688,,32.481414794921875,41.810001373291016,37.5,,1.8660000562667847,,6.133245944976807,23.860000610351562,11.329999923706055,11.458127975463867,16.007999420166016,12.493332862854004,7.865056037902832,7.3125,25.549999237060547,53.06999969482422,2.72041392326355,8.300000190734863
2010-01-07 00:00:00,6.240994930267334,,13.8100004196167,29.649999618530273,8.874944686889648,13.166439056396484,,6.381583213806152,,36.29924774169922,23.30500030517578,14.100000381469727,7.591972827911377,14.100000381469727,10.40250015258789,8.047606468200684,9.793505668640137,,16.945194244384766,,5.212471008300781,28.100000381469727,,23.540000915527344,,17.336000442504883,37.83464431762695,24.16930389404297,9.470000267028809,11.421175003051758,9.522201538085938,3.4844589233398438,9.354999542236328,29.6200008392334,35.84000015258789,26.65999984741211,,21.81999969482422,,5.773190975189209,18.04066276550293,9.949999809265137,,6.182107925415039,,22.399999618530273,12.09105110168457,11.282690048217773,,32.481414794921875,41.560001373291016,37.150001525878906,,1.8533329963684082,,5.8740949630737305,23.690000534057617,11.149999618530273,11.290120124816895,16.007999420166016,12.493332862854004,7.871709823608398,7.3125,25.790000915527344,53.290000915527344,2.7662720680236816,8.166666030883789
2010-01-08 00:00:00,6.229008197784424,,13.489999771118164,29.81999969482422,8.886656761169434,13.152243614196777,,6.784733772277832,,36.8304557800293,23.399999618530273,13.899999618530273,7.525083065032959,14.0,10.399999618530273,7.947135925292969,9.784008979797363,,17.157894134521484,,5.259130001068115,28.735000610351562,,23.5,,17.191999435424805,38.47421646118164,24.16930389404297,9.449999809265137,11.569074630737305,9.360198020935059,3.5362279415130615,9.545000076293945,29.540000915527344,35.900001525878906,27.950000762939453,,22.399999618530273,,5.730285167694092,17.7674560546875,9.960000038146973,,6.21490478515625,,22.850000381469727,11.736501693725586,10.78271770477295,,32.481414794921875,41.25,36.95000076293945,,1.8860000371932983,,5.928804874420166,23.450000762939453,11.336666107177734,11.310280799865723,16.007999420166016,12.466666221618652,7.948231220245361,7.3125,25.424999237060547,53.810001373291016,2.8668630123138428,8.166666030883789
2010-01-11 00:00:00,6.1530938148498535,,13.609999656677246,30.049999237060547,8.857377052307129,13.162890434265137,,6.656905174255371,,36.98981857299805,23.325000762939453,15.25,7.39464807510376,14.25,10.5,7.836619853973389,9.777677536010742,,17.559663772583008,,5.276905059814453,29.299999237060547,,23.729999542236328,,16.895999908447266,37.87461853027344,24.16930389404297,9.539999961853027,11.776135444641113,9.270195960998535,3.5282630920410156,9.625,29.559999465942383,36.5,28.030000686645508,,22.049999237060547,,5.711215972900391,17.612640380859375,9.8100004196167,,6.3296918869018555,,22.149999618530273,11.8910493850708,10.56939697265625,,32.481414794921875,41.290000915527344,36.83000183105469,,1.9366660118103027,,5.960478782653809,23.700000762939453,11.420000076293945,11.090750694274902,16.007999420166016,12.463333129882812,7.833782196044922,7.3125,25.4950008392334,53.650001525878906,2.8343191146850586,8.166666030883789
2010-01-12 00:00:00,6.19304895401001,,13.479999542236328,29.799999237060547,8.901297569274902,13.20192813873291,,6.863397121429443,,36.99867248535156,23.25,15.100000381469727,7.31772518157959,14.1899995803833,10.5,7.6005167961120605,9.8251314163208,,17.677831649780273,,5.165812015533447,28.7549991607666,,24.1200008392334,,16.8799991607666,37.52485275268555,24.16930389404297,9.859999656677246,12.160676002502441,9.360198020935059,3.5063610076904297,9.800000190734863,29.350000381469727,35.91999816894531,27.5,,21.149999618530273,,5.711215972900391,17.44871711730957,9.550000190734863,,6.4772748947143555,,22.0,12.09105110168457,10.549398422241211,,32.481414794921875,40.77000045776367,36.36000061035156,,1.9459999799728394,,6.133245944976807,23.739999771118164,11.199999809265137,11.086271286010742,16.007999420166016,12.479999542236328,7.845094203948975,7.3125,24.799999237060547,53.5,2.8994081020355225,7.800000190734863
2010-01-13 00:00:00,6.272959232330322,,13.699999809265137,30.18000030517578,8.959858894348145,13.272906303405762,,6.863397121429443,,37.32624816894531,23.459999084472656,14.899999618530273,7.307692050933838,14.720000267028809,10.350000381469727,7.510094165802002,9.844124794006348,,17.583297729492188,,5.12137508392334,29.25,,23.75,,16.719999313354492,37.884613037109375,24.16930389404297,9.760000228881836,11.966761589050293,9.180193901062012,3.4605650901794434,9.824999809265137,29.489999771118164,36.0,27.790000915527344,,20.8700008392334,,5.6921467781066895,17.503358840942383,9.869999885559082,,6.551066875457764,,22.200000762939453,11.91832160949707,10.432738304138184,,32.481414794921875,40.400001525878906,36.29999923706055,,1.9933329820632935,,6.167799949645996,23.899999618530273,11.326665878295898,10.954105377197266,16.007999420166016,12.510000228881836,7.768572807312012,7.3125,24.850000381469727,54.15999984741211,2.810650110244751,7.670000076293945
2010-01-14 00:00:00,6.362857818603516,,13.699999809265137,29.75,8.84273624420166,12.988993644714355,,6.794567108154297,,37.131473541259766,23.024999618530273,14.899999618530273,6.943142890930176,14.319999694824219,10.399999618530273,7.610564231872559,9.619458198547363,,17.50294303894043,,5.243577003479004,29.5,,23.530000686645508,,16.639999389648438,37.275020599365234,24.16930389404297,9.670000076293945,12.062074661254883,9.315196990966797,3.3649919033050537,10.0,29.459999084472656,35.619998931884766,26.809999465942383,,21.690000534057617,,5.611103057861328,17.262025833129883,10.600000381469727,,6.405123233795166,,22.450000762939453,12.036504745483398,10.56606388092041,,32.481414794921875,39.75,35.66999816894531,,1.9933329820632935,,6.182197093963623,23.25,11.170000076293945,11.010107040405273,16.007999420166016,12.510000228881836,7.784542083740234,7.3125,24.989999771118164,54.150001525878906,2.7943780422210693,7.5
2010-01-15 00:00:00,6.352069854736328,,13.619999885559082,29.25,8.643628120422363,12.804450988769531,,6.9518938064575195,,36.697654724121094,23.200000762939453,14.449999809265137,7.033443927764893,14.199999809265137,10.3149995803833,7.620611190795898,9.461237907409668,,17.26660919189453,,5.205804824829102,28.8799991607666,,23.239999771118164,,16.360000610351562,35.96589660644531,24.16930389404297,9.760000228881836,12.127808570861816,9.387199401855469,3.339107036590576,9.854999542236328,28.850000381469727,34.77000045776367,26.200000762939453,,21.5,,5.472850799560547,16.97060775756836,10.130000114440918,,6.178829193115234,,22.84000015258789,11.818321228027344,10.599394798278809,,32.481414794921875,39.9900016784668,35.75,,1.9859999418258667,,6.130366802215576,22.899999618530273,11.166666030883789,10.972024917602539,16.007999420166016,12.510000228881836,7.751936912536621,7.3125,25.149999618530273,53.45000076293945,2.782543897628784,7.613333225250244
